,ID IPEDS Race,IPEDS Race,ID Year,Year,Enrollment,University,ID University,Slug University,Location
24,nonresident,Non-resident Alien,2020,2020,4173,The University of Texas at Austin,228778,the-university-of-texas-at-austin,TX
25,unknown,Unknown,2020,2020,584,The University of Texas at Austin,228778,the-university-of-texas-at-austin,TX
26,white,White,2020,2020,19616,The University of Texas at Austin,228778,the-university-of-texas-at-austin,TX
45,asian,Asian,2019,2019,9958,The University of Texas at Austin,228778,the-university-of-texas-at-austin,TX
46,black,Black or African American,2019,2019,2082,The University of Texas at Austin,228778,the-university-of-texas-at-austin,TX
47,hawaiian,Native Hawaiian or Other Pacific Islanders,2019,2019,35,The University of Texas at Austin,228778,the-university-of-texas-at-austin,TX
48,hispanic,Hispanic or Latino,2019,2019,11081,The University of Texas at Austin,228778,the-university-of-texas-at-austin,TX
49,multiracial,Two or More Races,2019,2019,1768,The University of Texas at Austin,228778,the-university-of-texas-at-austin,TX
50,native,American Indian or Alaska Native,2019,2019,74,The University of Texas at Austin,228778,the-university-of-texas-at-austin,TX
51,nonresident,Non-resident Alien,2019,2019,5089,The University of Texas at Austin,228778,the-university-of-texas-at-austin,TX
52,unknown,Unknown,2019,2019,621,The University of Texas at Austin,228778,the-university-of-texas-at-austin,TX
53,white,White,2019,2019,20382,The University of Texas at Austin,228778,the-university-of-texas-at-austin,TX
72,asian,Asian,2018,2018,9843,The University of Texas at Austin,228778,the-university-of-texas-at-austin,TX
73,black,Black or African American,2018,2018,2076,The University of Texas at Austin,228778,the-university-of-texas-at-austin,TX
74,hawaiian,Native Hawaiian or Other Pacific Islanders,2018,2018,42,The University of Texas at Austin,228778,the-university-of-texas-at-austin,TX
75,hispanic,Hispanic or Latino,2018,2018,10846,The University of Texas at Austin,228778,the-university-of-texas-at-austin,TX
76,multiracial,Two or More Races,2018,2018,1756,The University of Texas at Austin,228778,the-university-of-texas-at-austin,TX
77,native,American Indian or Alaska Native,2018,2018,77,The University of Texas at Austin,228778,the-university-of-texas-at-austin,TX
78,nonresident,Non-resident Alien,2018,2018,5252,The University of Texas at Austin,228778,the-university-of-texas-at-austin,TX
79,unknown,Unknown,2018,2018,635,The University of Texas at Austin,228778,the-university-of-texas-at-austin,TX
80,white,White,2018,2018,21305,The University of Texas at Austin,228778,the-university-of-texas-at-austin,TX
99,asian,Asian,2017,2017,9399,The University of Texas at Austin,228778,the-university-of-texas-at-austin,TX
100,black,Black or African American,2017,2017,1990,The University of Texas at Austin,228778,the-university-of-texas-at-austin,TX
101,hawaiian,Native Hawaiian or Other Pacific Islanders,2017,2017,61,The University of Texas at Austin,228778,the-university-of-texas-at-austin,TX
102,hispanic,Hispanic or Latino,2017,2017,10534,The University of Texas at Austin,228778,the-university-of-texas-at-austin,TX
103,multiracial,Two or More Races,2017,2017,1709,The University of Texas at Austin,228778,the-university-of-texas-at-austin,TX
104,native,American Indian or Alaska Native,2017,2017,84,The University of Texas at Austin,228778,the-university-of-texas-at-austin,TX
105,nonresident,Non-resident Alien,2017,2017,5244,The University of Texas at Austin,228778,the-university-of-texas-at-austin,TX
106,unknown,Unknown,2017,2017,634,The University of Texas at Austin,228778,the-university-of-texas-at-austin,TX
107,white,White,2017,2017,21870,The University of Texas at Austin,228778,the-university-of-texas-at-austin,TX
126,asian,Asian,2016,2016,9155,The University of Texas at Austin,228778,the-university-of-texas-at-austin,TX
127,black,Black or African American,2016,2016,2025,The University of Texas at Austin,228778,the-university-of-texas-at-austin,TX
128,hawaiian,Native Hawaiian or Other Pacific Islanders,2016,2016,67,The University of Texas at Austin,228778,the-university-of-texas-at-austin,TX
129,hispanic,Hispanic or Latino,2016,2016,10265,The University of Texas at Austin,228778,the-university-of-texas-at-austin,TX
